labels,text_en,translated_de
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Um Ihr Guthaben zu verwenden, klicken Sie auf den WAP-Link in der nächsten SMS oder klicken Sie hier>> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Oh k...i'm watching here:)","Oh okay...ich schaue hier:)"
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.","Eh, erinnerst du dich, wie man seinen Namen buchstabiert... Ja, das habe ich. Er ist sehr frech, bis ich ganz nass wurde."
ham,"Fine if thats the way u feel. Thats the way its gota b","Okay, wenn du dich so fühlst. So muss es sein."
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","England gegen Mazedonien - verpassen Sie nicht die Tore/Team-News. Texten Sie Ihr Nationalteam an die 87077, z.B. ENGLAND an 87077. Versuchen Sie: WALES, SCHOTTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,"Is that seriously how you spell his name?","Ist das wirklich, wie man seinen Namen buchstabiert?"
ham,"I‘m going to try for 2 months ha ha only joking","Ich werde es für 2 Monate versuchen ha ha nur ein Scherz."
ham,"So ü pay first lar... Then when is da stock comin...","So du zahlst zuerst... Wann kommt die Lieferung dann..."
ham,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?","Nachdem ich zu Mittag gegessen habe, gehe ich dann runter. So gegen 3 Uhr oder so. Hast du schon zu Mittag gegessen?"
ham,"Ffffffffff. Alright no way I can meet up with you sooner?","Ffffffffff. Okay, gibt es keine Möglichkeit, mich früher mit dir zu treffen?"
ham,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol","Gerade habe ich mich dazu gezwungen, ein Stück zu essen. Ich bin wirklich nicht hungrig. Das ist doof. Mark macht sich Sorgen. Er weiß, dass es mir nicht gut geht, wenn ich Pizza ablehne. Lol."
ham,"Lol your always so convincing.","Lol, du bist immer so überzeugend."
ham,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?","Hast du den Bus erwischt? Brätst du ein Ei? Hast du einen Tee gemacht? Isst du das übrig gebliebene Abendessen deiner Mutter? Fühlst du meine Liebe?"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Ich bin zurück & wir packen jetzt das Auto, ich werde dich wissen lassen, wenn noch Platz ist"
ham,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol","Ahhh. Arbeit. Das erinnere ich mich nur vage daran! Wie fühlt es sich an? Lol"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Warten Sie, das ist immer noch nicht ganz klar, waren Sie sich nicht sicher, ob ich Sarkasmus benutzt habe oder ob das der Grund ist, warum x nicht mit uns leben will."
ham,"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?","Ja, er kam um 2 Uhr und war sehr entschuldigend. Sie hatten Streit und sie benahm sich wie ein verwöhntes Kind und er wurde in das hineingezogen. Bis 2! Aber wir werden nicht darauf eingehen! Geht es dir auch nicht allzu schlecht. Und dir?"
ham,"K tell me anything about you.","Erzähl mir etwas über dich."
ham,"For fear of fainting with the of all that housework you just did? Quick have a cuppa","Vor Angst ohnmächtig zu werden angesichts all der Hausarbeit, die du gerade getan hast? Schnell, trink eine Tasse Tee."
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged","Vielen Dank für Ihr Abonnement von Ringtone UK. Ihr Mobiltelefon wird mit £5 pro Monat berechnet. Bitte bestätigen Sie, indem Sie mit JA oder NEIN antworten. Wenn Sie mit NEIN antworten, werden Ihnen keine Kosten berechnet."
ham,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am","Yup... Okay, ich gehe nach Hause, schaue mir die Zeiten an und dann schreibe ich dir wieder... Xuhui wird auch am 2. Mai lernen, aber ihre Unterrichtsstunde ist um 8 Uhr."
ham,"Oops, I'll let you know when my roommate's done","Oops, ich werde dich informieren, wenn mein Mitbewohner fertig ist."
ham,"I see the letter B on my car","Ich sehe den Buchstaben B auf meinem Auto."
ham,"Anything lor... U decide...","Anything lor... You decide... ,"Irgendetwas halt... Du entscheidest..."
ham,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!","Hallo! Wie geht es dir und wie war dein Samstag? Ich habe nur geschrieben, um zu sehen, ob du morgen etwas geplant hast. Nicht dass ich versuche, mich selbst einzuladen oder so etwas!"
ham,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola","Bitte fahren Sie mit Watts fort. Ich wollte nur sicher gehen. Ich wünsche Ihnen ein schönes Wochenende. Abiola"
ham,"WHO ARE YOU SEEING?","WEN SIEHST DU?"
ham,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...","Great! Ich hoffe, du magst deinen Mann gut ausgestattet. Ich bin &lt;#&gt; Zoll..."
spam,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow","07732584351 - Rodger Burns - MSG = Wir haben versucht, Sie anzurufen wegen Ihrer Antwort auf unsere SMS für ein kostenloses Nokia-Handy + kostenlose Videokamera. Bitte rufen Sie jetzt 08000930705 an, um die Lieferung morgen zu arrangieren."
ham,"No calls..messages..missed calls","Keine Anrufe..Nachrichten..verpasste Anrufe."
ham,"Didn't you get hep b immunisation in nigeria.","Hast du keine Hepatitis-B-Impfung in Nigeria bekommen?"
ham,"Fair enough, anything going on?","In Ordnung, ist etwas los?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Hoffentlich, wenn Tyler es nicht schaffen kann, könnte ich vielleicht ein wenig herumfragen."
ham,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.","Du weißt nicht, wie stur ich bin. Ich wollte noch nicht einmal ins Krankenhaus gehen. Ich habe Mark immer gesagt, dass ich kein schwacher Feigling bin. Krankenhäuser sind für schwache Feiglinge."
ham,"What you thinked about me. First time you saw me in class.","Was hast du über mich gedacht, als du mich das erste Mal im Unterricht gesehen hast?"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Eine Gramm läuft normalerweise wie  &lt;#&gt; , ein halbes Achtel ist jedoch klüger und bringt dir fast ein ganzes zweites Gramm für  &lt;#&gt;"
ham,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight","K hat morgen früh eine Fahrt, aber er übernachtet heute bei uns."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave. I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Wow. Ich habe nie bemerkt, dass du so peinlich berührt von deiner Unterkunft warst. Ich dachte, du mochtest es, da ich mein Bestes gab und du immer so glücklich über die Höhle schienst. Es tut mir leid, dass ich nicht mehr geben konnte. Es tut mir leid, dass ich angeboten habe. Es tut mir leid, dass dein Zimmer so peinlich war."
spam,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV","SMS.ac Sptv: Die New Jersey Devils und die Detroit Red Wings spielen Eishockey. Korrekt oder inkorrekt? Ende? Antwort ENDE SPTV"
ham,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;","Weißt du, was Mallika Sherawat gestern gemacht hat? Finde es jetzt heraus bei @ &lt;URL&gt;"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Herzlichen Glückwunsch! 1 Jahr Sonderkino-Pass für 2 Personen gehört Ihnen. Rufen Sie jetzt 09061209465 an! C Suprman V, Matrix3, StarWars3, usw. alles 4 KOSTENLOS! bx420-ip4-5we. 150pm. Verpassen Sie es nicht!"
ham,"Sorry, I'll call later in meeting.","Entschuldigung, ich rufe später an, bin in einem Meeting."
ham,"Tell where you reached","Sagen Sie, wo Sie angekommen sind."
ham,"Yes..gauti and sehwag out of odi series.","Ja.. Gauti und Sehwag sind nicht mehr Teil der ODI-Serie."
ham,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.","Du musst dir auf dem Weg nach Hause einen 1-Dollar-Burger für dich selbst holen. Ich kann mich nicht einmal bewegen. Der Schmerz bringt mich um."
ham,"Ha ha ha good joke. Girls are situation seekers.","Ha ha ha guter Witz. Mädchen sind Situationssucher."
ham,"Its a part of checking IQ","Es ist ein Teil der Überprüfung des IQ"."
ham,"Sorry my roommates took forever, it ok if I come by now?","Entschuldigung, meine Mitbewohner haben ewig gedauert, ist es in Ordnung, wenn ich jetzt vorbeikomme?"
ham,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.","Ok, ich habe bereits mit dem Friseur doppelt nachgefragt und er meinte, er wird nicht sehr kurz schneiden. Er sagte, er wird schneiden, bis es gut aussieht."
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","Als geschätzter Kunde teile ich Ihnen gerne mit, dass nach einer kürzlich durchgeführten Überprüfung Ihrer Mobilfunknummer ein Bonuspreis in Höhe von £1500 für Sie vergeben wurde. Bitte rufen Sie 09066364589 an."
ham,"Today is song dedicated day.. Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Heute ist Lied gewidmeter Tag.. Welches Lied wirst du mir widmen? Sende dies an all deine wertvollen Freunde, aber antworte mir zuerst..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Eilt! Ihnen wurde eine kostenlose Reise nach EuroDisinc Trav, Aco&Entry41 oder £1000 zugesprochen. Um den Gewinn zu beanspruchen, senden Sie DIS an 87121. 18+6*£1.50 (mehr von Mob. ShrAcomOrSglSuplt) 10, LS1 3AJ."
spam,"Did you hear about the new Divorce Barbie? It comes with all of Ken's stuff!","Hast du schon von der neuen Divorce Barbie gehört? Sie kommt mit all Kens Sachen!"
ham,"I plane to give on this month end.","Ich plane, es Ende dieses Monats abzugeben."
ham,"Wah lucky man... Then can save money... Hee...","Wah, Glückspilz... Dann kann man Geld sparen... Hee..."
ham,"Finished class where are you.","Fertig mit dem Unterricht, wo bist du?"
ham,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX","Hallo Schatz, ich bin jetzt zu Hause. Möchtest du etwas unternehmen? XX"
ham,"K..k:)where are you?how did you performed?","K..k:) Wo bist du? Wie hast du dich geschlagen?"
ham,"U can call me now...","Du kannst mich jetzt anrufen..."
ham,"I am waiting machan. Call me once you free.","Ich warte, machan. Ruf mich an, wenn du frei bist."
ham,"Thats cool. i am a gentleman and will treat you with dignity and respect.","Das ist cool. Ich bin ein Gentleman und werde dich mit Würde und Respekt behandeln."
ham,"I like you peoples very much:) but am very shy pa.","Ich mag euch Leute sehr:) aber ich bin sehr schüchtern."
ham,"Does not operate after  &lt;#&gt;  or what","Funktioniert nicht nach &lt;#&gt; oder was"
ham,"Its not the same here. Still looking for a job. How much do Ta's earn there.","Es ist hier nicht dasselbe. Noch auf der Suche nach einem Job. Wie viel verdienen dort TA's?"
ham,"Sorry, I'll call later","Entschuldigung, ich rufe später an."
ham,"K. Did you call me just now ah?","K. Hast du mich gerade angerufen?"
ham,"Ok i am on the way to home hi hi","Ok, ich bin auf dem Weg nach Hause hi hi."
ham,"You will be in the place of that man","Du wirst an der Stelle dieses Mannes sein"
ham,"Yup next stop.","Yup, nächster Halt."
ham,"I call you later, don't have network. If urgnt, sms me.","Ich rufe dich später an, habe kein Netzwerk. Wenn dringend, schicke mir eine SMS."
ham,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.","Für real, wann steigst du ein? Ich brauche nur noch 2 weitere Tickets und eine Jacke und dann bin ich fertig. Ich habe bereits alle meine Multiplikatoren verwendet."
ham,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.","Ja, ich habe angefangen, Anfragen zu senden, um es zu machen, aber der Schmerz kam zurück, also bin ich wieder im Bett. Auch doppelte Münzen in der Fabrik. Ich muss alle meine Nitros einlösen."
ham,"I'm really not up to it still tonight babe","Ich bin heute Abend wirklich nicht dazu bereit, Schatz."
ham,"Ela kano.,il download, come wen ur free..","Ela kano.,lade herunter, komm, wenn du frei bist.."
ham,"Yeah do! Don‘t stand to close tho- you‘ll catch something!","Ja, mach weiter so! Steh aber nicht zu nah, du wirst etwas einfangen!"
ham,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.","Entschuldigung, dass ich störe. Ist es okay, wenn wir uns an einem anderen Abend treffen? Ich habe den späten Nachmittag in der Notaufnahme verbracht und das bedeutet, dass ich nichts von meiner Arbeit erledigt habe, auch meine Stundenzettel nicht. Es tut mir leid."
ham,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!","Lächle in Freude, lächle in Schmerz, lächle, wenn Schwierigkeiten wie Regen über dich kommen, lächle, wenn dich jemand verletzt, lächle, weil JEMAND immer noch liebt, dich lächeln zu sehen!"
spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!","Bitte rufen Sie unseren Kundenservice-Mitarbeiter unter 0800 169 6031 zwischen 10 und 21 Uhr an, da Sie einen garantierten Geldpreis von £1000 oder einen Sachpreis von £5000 gewonnen haben!"
ham,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?","Habe nicht vor, später zu kaufen. Ich habe bereits überprüft, Lido hat nur 530 Shows am Nachmittag. Hast du schon Feierabend?"
spam,"Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Ihr kostenloser Klingelton wartet darauf, abgeholt zu werden. Senden Sie einfach das Passwort MIX an 85069, um zu überprüfen. Erhalten Sie Usher und Britney. FML, Postfach 5249, MK17 92H. 450Ppw 16."
ham,"Watching telugu movie..wat abt u?","Telugu Film schauen.. und du?"
ham,"i see. When we finish we have loads of loans to pay","Ich sehe. Wenn wir fertig sind, haben wir jede Menge Darlehen zu bezahlen."
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?","Hallo. Wk war in Ordnung - jetzt im Urlaub! Ja, für einen kleinen Lauf. Habe vergessen, dass ich um vier einen Friseurtermin habe, also muss ich vorher nach Hause gehen und duschen. Verursacht das ein Problem für dich?"
ham,"I see a cup of coffee animation","Ich sehe eine Animation einer Tasse Kaffee."
ham,"Please don't text me anymore. I have nothing else to say.","Bitte schreib mir nicht mehr. Ich habe nichts mehr zu sagen."
ham,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx","Okay, nennen Sie Ihren Preis, solange er legal ist! Wann kann ich sie abholen? Y u ave x ams xx"
ham,"I'm still looking for a car to buy. And have not gone 4the driving test yet.","Ich bin immer noch auf der Suche nach einem Auto zum Kauf. Und habe den Führerschein noch nicht gemacht."
ham,"As per your request Melle Melle (Oru Minnaminunginte Nurungu Vettam' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","Gemäß Ihrer Anfrage wurde Melle Melle (Oru Minnaminunginte Nurungu Vettam) als Rufton für alle Anrufer festgelegt. Drücken Sie *9, um den Rufton Ihres Freundes zu kopieren."
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Wow. Du hast recht! Ich wollte das nicht tun. Ich denke, als ich mich von den Männern aus Boston abgewandt habe und meinen Suchort auf NYC geändert habe, hat sich etwas geändert. Denn auf meiner Anmeldeseite steht immer noch Boston."
ham,"Umma my life and vava umma love you lot dear","Umma mein Leben und Vava umma liebe dich sehr, lieber."
ham,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.","Vielen Dank für deine Glückwünsche zu meinem Geburtstag. Danke, dass du meinen Geburtstag wirklich unvergesslich gemacht hast."
ham,"Aight, I'll hit you up when I get some cash","Aight, ich melde mich bei dir, wenn ich etwas Bargeld habe."
ham,"How would my ip address test that considering my computer isn't a minecraft server","Wie würde meine IP-Adresse das testen, wenn mein Computer kein Minecraft-Server ist?"
ham,"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...","Ich weiß! Mürrische alte Leute. Meine Mutter war wie du besser nicht lügen. Andererseits bin ich immer derjenige, der Streiche spielt..."
ham,"Dont worry. I guess he's busy.","Keine Sorge. Ich denke, er ist beschäftigt."
ham,"What is the plural of the noun research?","Was ist der Plural des Substantivs Forschung?"
ham,"Going for dinner.msg you after."," Gehe zum Abendessen. Melde mich danach."
ham,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.","Ich bin okay damit, weil ich gerne neue Dinge ausprobiere. Aber ich habe Angst, dass es dir nicht gefällt. Weil du gesagt hast, nicht zu laut."
spam,"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm","GENT! Wir versuchen, dich zu kontaktieren. Die Ziehung am letzten Wochenende zeigt, dass du einen garantierten Gewinn von £1000 gewonnen hast. Rufe 09064012160 an. Anspruchscode K52. Nur 12 Stunden gültig. 150 Cent pro Minute."
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, Ihr Eröffnungssatz ist sehr formell... Wie auch immer, mir geht es auch gut, nur dass ich zu viel esse und Gewicht zulege... Haha... Ist etwas Besonderes passiert?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Als ich meine Kabine betrat, sagte mein persönlicher Assistent: Happy B'day, Chef!!. Ich fühlte mich besonders. Sie fragte mich nach dem Mittagessen. Nach dem Mittagessen lud sie mich in ihre Wohnung ein. Wir gingen dorthin."
spam,"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)","Du bist ein Gewinner. Du wurdest speziell ausgewählt, um £1000 oder einen 4* Urlaub (Flüge inklusive) zu erhalten. Sprich mit einem Live-Operator, um deinen Anspruch geltend zu machen. 0871277810910p/min (18+)"
ham,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!","Gut! Ja, wir müssen am Freitag sprechen - Ei-Kartoffel-Verhältnis für Tortilla benötigt!"
ham,"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.","Hmm... Mein Onkel hat mir gerade mitgeteilt, dass er die Schule direkt bezahlt. Also bitte kaufe Essen."
spam,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires","PRIVAT! Ihr Kontoauszug für 2004 von 07742676969 zeigt 786 nicht eingelöste Bonuspunkte. Zur Beantragung rufen Sie 08719180248 an. Identifizierungscode: 45239. Läuft ab."
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","DRINGEND! Ihre Mobiltelefonnummer wurde mit einem Bonus-Preis von £2000 am 5/9/03 ausgezeichnet. Dies ist unser letzter Versuch, Sie zu kontaktieren! Rufen Sie vom Festnetz aus unter 09064019788 BOX42WR29C an, 150PPM."
ham,"here is my new address -apples&pairs&all that malarky","Hier ist meine neue Adresse - Äpfel & Paare & all dieser Quatsch."
spam,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app","Die heutigen Voda-Nummern endend auf 7548 wurden ausgewählt, um einen Preis von 350 $ zu erhalten. Wenn Sie eine Übereinstimmung haben, rufen Sie bitte unter 08712300220 an und geben Sie den Anspruchscode 4041 an. Standardtarife gelten."
ham,"I am going to sao mu today. Will be done only at 12","Ich gehe heute nach Sao Mu. Wird erst um 12 Uhr fertig sein."
ham,"Ü predict wat time ü'll finish buying?","Ich vermute, wann du fertig sein wirst mit dem Einkaufen?"
ham,"Good stuff, will do.","Gute Sache, werde ich machen."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Nur damit Sie Bescheid wissen, Yetunde hat das Geld noch nicht geschickt. Ich habe ihr gerade eine SMS geschickt und ihr gesagt, dass sie es nicht schicken soll. Also ist es vorbei, du musst dich nicht in irgendetwas einmischen. Ich hätte dir im ersten Platz nichts aufzwingen sollen, also dafür entschuldige ich mich."
ham,"Are you there in room.","Bist du da im Zimmer?"
ham,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx","Hallo Mädels. Wie geht es dir? Hoffentlich geht es dir gut. Del und ich sind zurück! Lange nichts voneinander gehört! Ruf mich mal an, von Lucy xx."
ham,"K..k:)how much does it cost?","K..k:) Wie viel kostet es?"
ham,"I'm home.","Ich bin zu Hause."
ham,"Dear, will call Tmorrow.pls accomodate.","Lieber, wird morgen anrufen. Bitte um Unterkunft."
ham,"First answer my question.","Zuerst beantworten Sie meine Frage."
spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone","Sunshine Quiz Wöchentliche Frage! Gewinnen Sie einen erstklassigen Sony DVD-Player, wenn Sie wissen, in welchem Land die Algarve liegt? Texten Sie die Antwort an 82277. £1.50 SP: Tyrone"
spam,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p","Möchtest du heute Abend Sex haben? Möchtest du echte Dogging-Standorte direkt auf dein Handy geschickt bekommen? Tritt dem größten Dogging-Netzwerk Großbritanniens bei, indem du GRAVEL an 69888 textest! Nt. ec2a. 31p. msg@150p"
ham,"I only haf msn. It's yijue@hotmail.com","Ich habe nur MSN. Es ist yijue@hotmail.com."
ham,"He is there. You call and meet him","Er ist da. Du rufst an und triffst ihn."
ham,"No no. I will check all rooms befor activities","Nein nein. Ich werde alle Zimmer vor Aktivitäten überprüfen."
spam,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again","Du wirst keine weiteren Nachrichten mehr vom Chat-Dienst erhalten. Für KOSTENLOSE Hardcore-Dienstleistungen, sende GO an: 69988 Wenn du nichts bekommst, musst du dein Alter bei deinem Netzwerk verifizieren und es erneut versuchen."
ham,"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...","Habe c... zu faul zum tippen... ich habe das ü in Vorlesung vergessen... Ich habe eine Tasche gesehen, aber sie ist nicht sehr schön..."
ham,"K, text me when you're on the way","K, schreib mir, wenn du unterwegs bist"
